Date,Open,High,Low,Close,Volume,Return,MA5,MA10,MA20,Price_Change,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,Target
2020-03-24,-2.0119084230238475,-1.9947111942875353,-2.039334320940728,-2.0115183748558487,2.4097675272969137,2.4085580654369982,-2.044349444991655,-2.042946738086783,-1.9521579832438218,-0.06804673171506573,-0.9168683097575413,-1.2580181041857228,-1.082960936028938,-1.781057741666234,-2.2036702911753046,1
2020-03-25,-1.9605849312812365,-1.9586242464185641,-1.9900007308162735,-1.9543651553350045,2.2890161188799003,1.7449758123814227,-2.0210601411062354,-2.0565859184699207,-1.965303130557688,0.06804674394418198,-0.7669562985365269,-1.1688963505821566,-1.1074371306388786,-1.8019852924810562,-2.209116113797413,1
2020-03-26,-1.9424711683897191,-1.9586245537884186,-1.9807510480261334,-1.93631716900988,1.0070857301801646,0.5321344847436061,-1.9828418363802371,-2.063482679612368,-1.976419799990346,0.06804673152436858,-0.6183648181639675,-1.0719638316965143,-1.107070655475816,-1.8215595842609942,-2.211692253347025,1
2020-03-27,-1.915300169818365,-1.9225380118333026,-1.9961678009683514,-1.9784299453095915,1.7736288540627807,-1.228367567373878,-1.9792589267191307,-2.072254959180738,-1.9889556522244682,-1.4970280037538441,-0.5890153093612521,-1.0233414943291566,-1.096771697107534,-1.84062313751665,-2.217852615537394,0
2020-03-30,-2.0390795245139954,-2.024783398636415,-2.060917633768659,-2.0115183748558487,0.829472827645341,-0.9898879400741141,-1.9643298857669387,-2.0761692418761535,-2.0016634349885107,0.5443738537205259,-0.6839883092270559,-1.0051476675732933,-1.0847885280369818,-1.8562642759042385,-2.22808208707916,0
2020-03-31,-1.9817179086153778,-1.9947107927490515,-2.0177506031732593,-1.972413343712068,0.8139540461997622,1.1939368256136962,-1.956566704248573,-2.0708749725852647,-2.0143516057247663,0.13609349659044687,-0.499526442135908,-0.9468853056207533,-1.063212480281118,-1.8823223028238847,-2.2270023541321007,1
2020-04-01,-1.9605852328643307,-1.9796750936511611,-2.0054176880453123,-1.9874539889851386,0.6056338752716367,-0.44832019042435434,-1.9631355424349566,-2.062233308349604,-2.028756084380742,-0.6804673165213074,-0.42843142149037955,-0.9060216913232229,-1.0375425497804083,-1.9164573947160768,-2.220852690977205,0
2020-04-06,-1.9817181123137138,-1.9856893340070545,-2.0146674777699256,-1.9633894010624902,1.1780216142666502,0.7239041956618509,-1.9685099570661329,-2.045258549661587,-2.042682436233063,0.34023369943178866,-0.29951855231292895,-0.8444593080757931,-1.0043380218375466,-1.9602826411184433,-2.203200365583921,1
2020-04-07,-1.918318977758925,-1.934566690107638,-1.949917642532811,-1.918268778580878,0.8115167388145779,1.3375989684068168,-1.9565666841927665,-2.03723412864727,-2.051770617248908,-0.06804673551884789,0.04535243081782114,-0.7486119191201329,-0.9580504885853605,-1.9934564491347115,-2.18673330243517,1
2020-04-08,-1.9092613364907696,-1.9255444226766023,-1.9345003741386662,-1.9062359794897077,0.2874732426338249,0.3472583550057395,-1.9356658864690526,-2.018716137520209,-2.0572798955567597,0.0,0.2407368136371342,-0.6564671494767486,-0.9020585045678923,-2.0131296753975705,-2.1772234084705953,1
2020-04-09,-1.894166886195368,-1.9105089252837146,-1.9375843202274234,-1.918268778580878,-0.2085176777853566,-0.3448213326518228,-1.9249170371508937,-2.0091485358942167,-2.0638826115781823,-0.6124206196696481,0.3718005132757099,-0.5897349569328679,-0.8435324842047078,-2.0392086330551416,-2.163120730662922,0
2020-04-10,-1.9394519537890236,-1.9465954680975235,-1.9591675283359387,-1.93932501519178,-0.22623098522128496,-0.6076685925454408,-1.9153624108298777,-2.007605386378961,-2.0700298944880546,-0.06804673970828545,0.520014513883221,-0.5517333233877811,-0.7888915410083075,-2.0622794953881813,-2.151298786611192,0
2020-04-13,-1.9485090889888217,-1.9496027898760353,-1.9622509615449522,-1.9453412126854268,-0.4698924264698078,-0.1757975098830993,-1.911779461057158,-2.008531271941925,-2.074005415295448,0.0,0.10378790821070881,-0.5232506213486211,-0.7393175041149586,-2.075456817236993,-2.1455385596656806,0
2020-04-14,-1.9334134365726674,-1.9255444226766023,-1.9530003641216147,-1.9062359794897077,0.812593400569917,1.1467853952675053,-1.9093906941699685,-2.001124021590638,-2.074699132174092,0.5443740761491772,0.7324964940040524,-0.4622308833594795,-0.6871013678072938,-2.0780596534132694,-2.1442052133925293,1
2020-04-15,-1.8971857996419326,-1.9075016065543935,-1.916000906455012,-1.8911962434503602,1.1213347126445699,0.43099047732168627,-1.9064049862585626,-1.98877872181386,-2.0704144335168895,0.06804673936699891,0.5408092667626291,-0.39791662675885037,-0.6320935903166699,-2.067107963495666,-2.146897617176448,1
2020-04-16,-1.9213378915262265,-1.9075016054931424,-1.93450088989193,-1.8972123399180376,0.7646728445407672,-0.17090288403783008,-1.9022248347361423,-1.9810629431411628,-2.063802641072186,0.4763271758603039,0.24733312180422687,-0.35058313512542605,-0.5783468780513445,-2.0576926643904536,-2.142956850787218,0
2020-04-17,-1.7975588378207927,-1.7872132024157161,-1.826584740921833,-1.7768908146683646,4.068240486537192,3.4299765522685894,-1.8699781865026337,-1.959458725541906,-2.048431483828244,0.4082803422911557,0.6498125245605986,-0.20403674471036476,-0.505192538706812,-2.024505826081759,-2.1460157390966508,1
2020-04-20,-1.7703874321780346,-1.7842056751937765,-1.8142511124661993,-1.7919307527596506,0.45463690718381256,-0.4007634612145327,-1.8395229429601623,-1.941866713267071,-2.030864422144099,-0.5443738796880236,0.8385457635838035,-0.10257465051796076,-0.4257897495883897,-2.013422168509014,-2.1204758845295344,0
2020-04-21,-1.815672597372923,-1.8293139777569147,-1.869751056285128,-1.846075620968748,1.423145189358103,-1.4546422403975512,-1.8275798305332476,-1.9344595458395726,-2.0230219868083537,-0.7485140870939055,0.689672491406649,-0.0726157042650184,-0.35610243924864415,-2.002410347000391,-2.1156329662205815,0
2020-04-22,-1.8519009369879766,-1.8684080474033868,-1.8882512436032792,-1.852091919488364,0.49371473641502744,-0.166563499568083,-1.8198167894055275,-1.9289042531927374,-2.010787784734622,-0.06804672744335656,0.5207813061647832,-0.055914824311262386,-0.29691581425978825,-2.0063033133682024,-2.0852863617175337,0
2020-04-23,-1.818691506214504,-1.83833553733371,-1.8666676230442407,-1.8430674717089401,0.36272930670816245,0.25069509166661297,-1.809067879919949,-1.9211884434236195,-2.002004240723044,-0.6124206513977256,0.6587758151855216,-0.03631376022092607,-0.24553292314926112,-2.0008322355195856,-2.072439879363287,1
